Date,GTDEM10YR 
2010-01-04,3.391
2010-01-05,3.373
2010-01-06,3.381
2010-01-07,3.37
2010-01-08,3.385
2010-01-11,3.347
2010-01-12,3.313
2010-01-13,3.303
2010-01-14,3.298
2010-01-15,3.262
2010-01-18,3.248
2010-01-19,3.277
2010-01-20,3.223
2010-01-21,3.207
2010-01-22,3.215
2010-01-25,3.217
2010-01-26,3.207
2010-01-27,3.2
2010-01-28,3.201
2010-01-29,3.196
2010-02-01,3.186
2010-02-02,3.195
2010-02-03,3.223
2010-02-04,3.163
2010-02-05,3.12
2010-02-08,3.145
2010-02-09,3.152
2010-02-10,3.198
2010-02-11,3.234
2010-02-12,3.192
2010-02-15,3.204
2010-02-16,3.205
2010-02-17,3.194
2010-02-18,3.251
2010-02-19,3.285
2010-02-22,3.27
2010-02-23,3.167
2010-02-24,3.135
2010-02-25,3.11
2010-02-26,3.101
2010-03-01,3.108
2010-03-02,3.116
2010-03-03,3.138
2010-03-04,3.123
2010-03-05,3.156
2010-03-08,3.165
2010-03-09,3.132
2010-03-10,3.153
2010-03-11,3.179
2010-03-12,3.167
2010-03-15,3.155
2010-03-16,3.139
2010-03-17,3.111
2010-03-18,3.127
2010-03-19,3.109
2010-03-22,3.07
2010-03-23,3.056
2010-03-24,3.079
2010-03-25,3.152
2010-03-26,3.15
2010-03-29,3.132
2010-03-30,3.11
2010-03-31,3.092
2010-04-01,3.088
2010-04-02,3.088
2010-04-05,3.09
2010-04-06,3.143
2010-04-07,3.119
2010-04-08,3.096
2010-04-09,3.166
2010-04-12,3.177
2010-04-13,3.146
2010-04-14,3.138
2010-04-15,3.132
2010-04-16,3.084
2010-04-19,3.078
2010-04-20,3.098
2010-04-21,3.079
2010-04-22,3.052
2010-04-23,3.061
2010-04-26,3.046
2010-04-27,2.939
2010-04-28,3.037
2010-04-29,3.062
2010-04-30,3.017
2010-05-03,3.065
2010-05-04,2.949
2010-05-05,2.861
2010-05-06,2.793
2010-05-07,2.797
2010-05-10,2.955
2010-05-11,2.937
2010-05-12,2.942
2010-05-13,2.94
2010-05-14,2.86
2010-05-17,2.863
2010-05-18,2.831
2010-05-19,2.766
2010-05-20,2.685
2010-05-21,2.666
2010-05-24,2.655
2010-05-25,2.578
2010-05-26,2.645
2010-05-27,2.704
2010-05-28,2.682
2010-05-31,2.66
2010-06-01,2.675
2010-06-02,2.655
2010-06-03,2.676
2010-06-04,2.584
2010-06-07,2.563
2010-06-08,2.512
2010-06-09,2.567
2010-06-10,2.61
2010-06-11,2.566
2010-06-14,2.638
2010-06-15,2.674
2010-06-16,2.671
2010-06-17,2.663
2010-06-18,2.729
2010-06-21,2.766
2010-06-22,2.692
2010-06-23,2.647
2010-06-24,2.602
2010-06-25,2.611
2010-06-28,2.585
2010-06-29,2.559
2010-06-30,2.577
2010-07-01,2.566
2010-07-02,2.583
2010-07-05,2.543
2010-07-06,2.589
2010-07-07,2.598
2010-07-08,2.632
2010-07-09,2.634
2010-07-12,2.589
2010-07-13,2.641
2010-07-14,2.655
2010-07-15,2.653
2010-07-16,2.606
2010-07-19,2.65
2010-07-20,2.636
2010-07-21,2.638
2010-07-22,2.665
2010-07-23,2.706
2010-07-26,2.761
2010-07-27,2.77
2010-07-28,2.749
2010-07-29,2.717
2010-07-30,2.669
2010-08-02,2.698
2010-08-03,2.607
2010-08-04,2.604
2010-08-05,2.562
2010-08-06,2.519
2010-08-09,2.525
2010-08-10,2.537
2010-08-11,2.428
2010-08-12,2.421
2010-08-13,2.393
2010-08-16,2.33
2010-08-17,2.363
2010-08-18,2.347
2010-08-19,2.312
2010-08-20,2.271
2010-08-23,2.286
2010-08-24,2.18
2010-08-25,2.146
2010-08-26,2.157
2010-08-27,2.2
2010-08-30,2.135
2010-08-31,2.116
2010-09-01,2.224
2010-09-02,2.283
2010-09-03,2.354
2010-09-06,2.336
2010-09-07,2.255
2010-09-08,2.297
2010-09-09,2.336
2010-09-10,2.4
2010-09-13,2.427
2010-09-14,2.371
2010-09-15,2.404
2010-09-16,2.478
2010-09-17,2.427
2010-09-20,2.467
2010-09-21,2.453
2010-09-22,2.349
2010-09-23,2.285
2010-09-24,2.342
2010-09-27,2.269
2010-09-28,2.246
2010-09-29,2.24
2010-09-30,2.278
2010-10-01,2.286
2010-10-04,2.252
2010-10-05,2.279
2010-10-06,2.224
2010-10-07,2.262
2010-10-08,2.254
2010-10-11,2.272
2010-10-12,2.243
2010-10-13,2.282
2010-10-14,2.295
2010-10-15,2.371
2010-10-18,2.385
2010-10-19,2.414
2010-10-20,2.44
2010-10-21,2.484
2010-10-22,2.474
2010-10-25,2.45
2010-10-26,2.507
2010-10-27,2.565
2010-10-28,2.564
2010-10-29,2.518
2010-11-01,2.481
2010-11-02,2.47
2010-11-03,2.418
2010-11-04,2.396
2010-11-05,2.417
2010-11-08,2.39
2010-11-09,2.407
2010-11-10,2.441
2010-11-11,2.435
2010-11-12,2.512
2010-11-15,2.563
2010-11-16,2.622
2010-11-17,2.601
2010-11-18,2.704
2010-11-19,2.703
2010-11-22,2.65
2010-11-23,2.552
2010-11-24,2.711
