Date,NEIXCTAT 
2010-01-04,2242.252
2010-01-05,2253.571
2010-01-06,2275.848
2010-01-07,2264.398
2010-01-08,2268.406
2010-01-11,2277.268
2010-01-12,2251.226
2010-01-13,2250.854
2010-01-14,2266.655
2010-01-15,2242.445
2010-01-18,2246.302
2010-01-19,2262.574
2010-01-20,2217.649
2010-01-21,2190.431
2010-01-22,2166.256
2010-01-25,2170.012
2010-01-26,2162.284
2010-01-27,2136.718
2010-01-28,2125.652
2010-01-29,2119.494
2010-02-01,2126.746
2010-02-02,2132.689
2010-02-03,2122.464
2010-02-04,2101.076
2010-02-05,2096.679
2010-02-08,2094.14
2010-02-09,2104.426
2010-02-10,2094.026
2010-02-11,2113.58
2010-02-12,2122.493
2010-02-15,2124.505
2010-02-16,2140.065
2010-02-17,2139.083
2010-02-18,2143.051
2010-02-19,2140.093
2010-02-22,2137.029
2010-02-23,2133.144
2010-02-24,2143.66
2010-02-25,2146.151
2010-02-26,2161.331
2010-03-01,2177.219
2010-03-02,2192.479
2010-03-03,2191.13
2010-03-04,2188.289
2010-03-05,2199.862
2010-03-08,2202.335
2010-03-09,2214.012
2010-03-10,2208.607
2010-03-11,2197.988
2010-03-12,2193.698
2010-03-15,2187.865
2010-03-16,2215.353
2010-03-17,2242.786
2010-03-18,2237.132
2010-03-19,2217.863
2010-03-22,2226.134
2010-03-23,2242.921
2010-03-24,2214.524
2010-03-25,2218.109
2010-03-26,2209.52
2010-03-29,2247.944
2010-03-30,2255.452
2010-03-31,2267.198
2010-04-01,2288.376
2010-04-02,2289.926
2010-04-05,2302.023
2010-04-06,2313.073
2010-04-07,2307.154
2010-04-08,2307.65
2010-04-09,2311.277
2010-04-12,2305.684
2010-04-13,2294.414
2010-04-14,2325.983
2010-04-15,2342.139
2010-04-16,2301.196
2010-04-19,2284.112
2010-04-20,2312.769
2010-04-21,2318.372
2010-04-22,2305.747
2010-04-23,2313.674
2010-04-26,2332.188
2010-04-27,2289.385
2010-04-28,2285.076
2010-04-29,2313.85
2010-04-30,2313.11
2010-05-03,2325.494
2010-05-04,2272.652
2010-05-05,2258.58
2010-05-06,2229.017
2010-05-07,2189.789
2010-05-10,2226.938
2010-05-11,2232.697
2010-05-12,2251.258
2010-05-13,2261.147
2010-05-14,2260.847
2010-05-17,2240.3
2010-05-18,2252.723
2010-05-19,2225.059
2010-05-20,2195.137
2010-05-21,2195.87
2010-05-24,2203.024
2010-05-25,2215.478
2010-05-26,2211.18
2010-05-27,2192.141
2010-05-28,2207.844
2010-05-31,2208.939
2010-06-01,2209.71
2010-06-02,2213.76
2010-06-03,2199.543
2010-06-04,2229.574
2010-06-07,2239.504
2010-06-08,2250.007
2010-06-09,2235.801
2010-06-10,2214.102
2010-06-11,2224.241
2010-06-14,2194.881
2010-06-15,2190.592
2010-06-16,2190.701
2010-06-17,2196.082
2010-06-18,2193.693
2010-06-21,2187.017
2010-06-22,2202.304
2010-06-23,2198.728
2010-06-24,2200.137
2010-06-25,2204.654
2010-06-28,2216.844
2010-06-29,2213.523
2010-06-30,2196.926
2010-07-01,2167.267
2010-07-02,2149.088
2010-07-05,2153.836
2010-07-06,2150.555
2010-07-07,2148.506
2010-07-08,2133.026
2010-07-09,2133.214
2010-07-12,2142.956
2010-07-13,2135.19
2010-07-14,2133.768
2010-07-15,2141.558
2010-07-16,2140.327
2010-07-19,2130.235
2010-07-20,2135.216
2010-07-21,2147.179
2010-07-22,2154.54
2010-07-23,2136.243
2010-07-26,2128.649
2010-07-27,2110.375
2010-07-28,2116.944
2010-07-29,2130.349
2010-07-30,2161.322
2010-08-02,2175.842
2010-08-03,2187.284
2010-08-04,2194.45
2010-08-05,2202.199
2010-08-06,2199.547
2010-08-09,2208.715
2010-08-10,2200.057
2010-08-11,2203.099
2010-08-12,2202.156
2010-08-13,2205.486
2010-08-16,2235.86
2010-08-17,2236.629
2010-08-18,2242.243
2010-08-19,2239.763
2010-08-20,2243.367
2010-08-23,2250.941
2010-08-24,2260.088
2010-08-25,2253.455
2010-08-26,2256.116
2010-08-27,2246.679
2010-08-30,2259.269
2010-08-31,2279.036
2010-09-01,2267
2010-09-02,2267.723
2010-09-03,2255.648
2010-09-06,2252.454
2010-09-07,2286.146
2010-09-08,2276.247
2010-09-09,2262.093
2010-09-10,2237.477
2010-09-13,2256.272
2010-09-14,2293.029
2010-09-15,2262.201
2010-09-16,2244.445
2010-09-17,2265.343
2010-09-20,2280.818
2010-09-21,2287.895
2010-09-22,2306.519
2010-09-23,2302.208
2010-09-24,2332.388
2010-09-27,2346.405
2010-09-28,2360.901
2010-09-29,2354.975
2010-09-30,2339.185
2010-10-01,2329.026
2010-10-04,2324.273
2010-10-05,2372.982
2010-10-06,2393.39
2010-10-07,2392.225
2010-10-08,2444.404
2010-10-11,2456.193
2010-10-12,2466.772
2010-10-13,2488.901
2010-10-14,2490.853
2010-10-15,2472.333
2010-10-18,2481.258
2010-10-19,2429.574
2010-10-20,2468.668
2010-10-21,2455.643
2010-10-22,2453.605
2010-10-25,2486.442
2010-10-26,2458.163
2010-10-27,2416.343
2010-10-28,2441.156
2010-10-29,2454.868
2010-11-01,2467.869
2010-11-02,2488.774
2010-11-03,2486.609
2010-11-04,2555.421
2010-11-05,2550.778
2010-11-08,2541.649
2010-11-09,2544.754
2010-11-10,2520.2
2010-11-11,2503.053
2010-11-12,2437.365
2010-11-15,2431.086
2010-11-16,2362.214
2010-11-17,2355.937
2010-11-18,2384.689
2010-11-19,2369.608
2010-11-22,2367.921
2010-11-23,2350.1
2010-11-24,2369.587
2010-11-25,2371.516
2010-11-26,2346.665
2010-11-29,2353.222
2010-11-30,2359.646
2010-12-01,2385.885
2010-12-02,2402.078
2010-12-03,2418.114
2010-12-06,2424.745
2010-12-07,2409.842
2010-12-08,2392.631
2010-12-09,2398.237
2010-12-10,2398.544
