Date,USGG10YR,USGG3M
2010-01-04,3.8155,0.0548
2010-01-05,3.7608,0.0608
2010-01-06,3.8215,0.0487
2010-01-07,3.8235,0.0436
2010-01-08,3.8297,0.0395
2010-01-11,3.818,0.0203
2010-01-12,3.7108,0.0385
2010-01-13,3.7908,0.0487
2010-01-14,3.7382,0.0507
2010-01-15,3.6744,0.0517
2010-01-18,3.6745,0.0537
2010-01-19,3.6919,0.0436
2010-01-20,3.6474,0.0456
2010-01-21,3.5858,0.0385
2010-01-22,3.6071,0.0436
2010-01-25,3.6265,0.0436
2010-01-26,3.6188,0.0608
2010-01-27,3.6479,0.069
2010-01-28,3.6344,0.069
2010-01-29,3.5844,0.069
2010-02-01,3.6501,0.0842
2010-02-02,3.6405,0.0872
2010-02-03,3.7047,0.0872
2010-02-04,3.6058,0.0842
2010-02-05,3.5654,0.0852
2010-02-08,3.5597,0.0892
2010-02-09,3.6448,0.0963
2010-02-10,3.6897,0.0994
2010-02-11,3.7155,0.0933
2010-02-12,3.6928,0.0872
2010-02-15,3.6909,0.0872
2010-02-16,3.6569,0.0862
2010-02-17,3.7307,0.0872
2010-02-18,3.8012,0.1065
2010-02-19,3.7726,0.0943
2010-02-22,3.7955,0.0842
2010-02-23,3.6834,0.1045
2010-02-24,3.6909,0.1095
2010-02-25,3.6324,0.1146
2010-02-26,3.6117,0.1146
2010-03-01,3.6079,0.1227
2010-03-02,3.6041,0.1197
2010-03-03,3.6173,0.1349
2010-03-04,3.6022,0.1349
2010-03-05,3.6796,0.143
2010-03-08,3.7157,0.145
2010-03-09,3.7005,0.145
2010-03-10,3.7215,0.145
2010-03-11,3.7272,0.145
2010-03-12,3.7006,0.142
2010-03-15,3.6949,0.145
2010-03-16,3.6493,0.1552
2010-03-17,3.6361,0.1471
2010-03-18,3.6759,0.145
2010-03-19,3.6892,0.144
2010-03-22,3.6588,0.1369
2010-03-23,3.6854,0.1247
2010-03-24,3.8524,0.1329
2010-03-25,3.8777,0.1298
2010-03-26,3.8468,0.1349
2010-03-29,3.8643,0.1258
2010-03-30,3.8566,0.145
2010-03-31,3.8257,0.1501
2010-04-01,3.8685,0.1521
2010-04-02,3.9446,0.1572
2010-04-05,3.9859,0.1603
2010-04-06,3.9505,0.1633
2010-04-07,3.8531,0.1603
2010-04-08,3.8901,0.1552
2010-04-09,3.8825,0.1471
2010-04-12,3.8417,0.1349
2010-04-13,3.8204,0.145
2010-04-14,3.8593,0.1501
2010-04-15,3.8321,0.1501
2010-04-16,3.7626,0.1511
2010-04-19,3.7974,0.1461
2010-04-20,3.7993,0.141
2010-04-21,3.7356,0.145
2010-04-22,3.7723,0.1501
2010-04-23,3.8092,0.1501
2010-04-26,3.8054,0.1501
2010-04-27,3.6877,0.14
2010-04-28,3.7628,0.1521
2010-04-29,3.7243,0.1521
2010-04-30,3.6532,0.1542
2010-05-03,3.682,0.1603
2010-05-04,3.5902,0.1562
2010-05-05,3.5388,0.1461
2010-05-06,3.3938,0.1045
2010-05-07,3.4255,0.1197
2010-05-10,3.5406,0.145
2010-05-11,3.5235,0.1471
2010-05-12,3.571,0.1501
2010-05-13,3.5261,0.1552
